player_name,total_runs,total_wickets,strike_rate,economy_rate,is_opener,is_finisher,is_death_bowler,is_economical,seasons_played,num_seasons,teams_played_for,num_teams,one_franchise,active_recent,early_ipl_era,played_for_csk,played_for_mi,played_for_rcb,played_for_kkr,played_for_srh,played_for_dc,played_for_dd,played_for_pbks,played_for_kxip,played_for_rr,played_for_gl,played_for_rps,played_for_ktr,played_for_pwi,played_for_dh,played_for_gt,played_for_lsg,primary_role,secondary_role,nationality,batting_hand,bowling_style,is_wicketkeeper,is_captain,is_power_hitter,is_anchor,is_spinner,is_pacer,is_all_rounder,is_clutch,won_orange_cap,won_purple_cap,won_ipl_title,is_international_star,personality_tag,legacy_team,fan_perception,iconic_moment
ML Hayden,1107,0,137.34,0.0,True,False,False,False,"[2007, 2009, 2009]",3,['Chennai Super Kings'],1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,False,False,False,False,False,True,Aggressive,,,
MEK Hussey,1977,0,122.64,0.0,True,False,False,False,"[2007, 2009, 2011, 2012, 2013, 2014, 2015]",7,"['Chennai Super Kings', 'Mumbai Indians']",2,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman | All-rounder,,Overseas,Right,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,True,Finisher,,,
MS Dhoni,5439,0,137.45,0.0,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",18,"['Chennai Super Kings', 'Rising Pune Supergiants', 'Rising Pune Supergiant']",3,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Batsman | Wicket-keeper | All-rounder,,Indian,Right,Right-arm Fast | Off-spin,True,True,False,False,False,True,True,True,False,True,True,True,Finisher,Chennai Super Kings,A true leader and game-changer,Leading CSK to multiple IPL titles
SK Raina,5536,25,136.83,7.39,False,False,False,True,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021]",13,"['Chennai Super Kings', 'Gujarat Lions']",2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,All-rounder,,Indian,Left,Right-arm Off-break,False,False,False,False,True,False,True,False,False,False,False,True,Aggressive,Chennai Super Kings,,
JDP Oram,106,9,98.15,8.84,False,False,False,False,"[2007, 2009, 2011]",3,"['Chennai Super Kings', 'Rajasthan Royals']",2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,,,,
S Badrinath,1441,0,118.89,0.0,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013]",6,['Chennai Super Kings'],1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman,,Indian,Right,Right-arm Off-break,False,False,False,False,False,False,False,False,False,False,False,False,Consistent,,,
K Goel,218,0,94.37,8.45,False,False,False,False,"[2007, 2009, 2009]",3,['Kings XI Punjab'],1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Batsman | Bowler | All-rounder | Wicket-keeper,,,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,
JR Hopes,417,14,136.27,9.13,False,False,False,False,"[2007, 2011]",2,"['Kings XI Punjab', 'Delhi Daredevils']",2,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,False,,,,
KC Sangakkara,1687,0,121.19,0.0,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013]",6,"['Kings XI Punjab', 'Deccan Chargers', 'Sunrisers Hyderabad']",3,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,Batsman,,Overseas,Left,Left-arm spin,True,False,False,False,True,False,False,False,False,False,False,True,Finisher,,,
Yuvraj Singh,2754,36,129.78,7.44,False,False,False,True,"[2007, 2009, 2009, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",11,"['Kings XI Punjab', 'Pune Warriors', 'Royal Challengers Bangalore', 'Delhi Daredevils', 'Sunrisers Hyderabad', 'Mumbai Indians']",6,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,Batsman | All-rounder,,Indian,Left,Left-arm Fast | Left-arm spin,False,False,True,False,False,False,True,True,False,False,True,True,Aggressive,Punjab Kings,One of the most destructive batsmen in IPL history,Six sixes in an over in the 2007 ICC World Twenty20
SM Katich,241,0,129.57,0.0,False,False,False,False,"[2007, 2009]",2,['Kings XI Punjab'],1,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Batsman | All-rounder,,Overseas,Left,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,True,Consistent,,,
IK Pathan,1150,80,121.05,7.78,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2016, 2017]",9,"['Kings XI Punjab', 'Delhi Daredevils', 'Sunrisers Hyderabad', 'Rising Pune Supergiants', 'Gujarat Lions']",5,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,All-rounder,,Indian,Right,Right-arm Fast | Off-spin,False,False,False,False,True,True,True,False,False,False,False,True,Aggressive,,,
T Kohli,11,0,57.89,0.0,False,False,False,False,"[2007, 2009]",2,"['Rajasthan Royals', 'Kings XI Punjab']",2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman,,Indian,Right,Right-arm Fast,False,True,True,False,False,True,False,True,False,True,True,True,Aggressive,RCB,One of the greatest batsmen in IPL history,His 2016 IPL century against Gujarat Lions
YK Pathan,3222,42,143.52,7.4,False,False,False,True,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",12,"['Rajasthan Royals', 'Kolkata Knight Riders', 'Sunrisers Hyderabad']",3,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,All-rounder,,Indian,Right,Right-arm Fast | Off-spin,False,False,False,False,True,True,True,False,False,False,False,True,Aggressive,Rajasthan Royals,,
SR Watson,3880,92,137.93,7.93,False,False,False,False,"[2007, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",12,"['Rajasthan Royals', 'Royal Challengers Bangalore', 'Chennai Super Kings']",3,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
M Kaif,259,0,103.6,0.0,False,False,False,False,"[2007, 2009, 2011, 2012]",4,"['Rajasthan Royals', 'Kings XI Punjab', 'Royal Challengers Bangalore']",3,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Batsman,,Indian,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,False,Finisher,,,
DS Lehmann,18,0,100.0,0.0,False,False,False,False,[2007],1,['Rajasthan Royals'],1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman | Bowler,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,Maverick,,,
RA Jadeja,3336,173,130.01,7.68,False,False,False,False,"[2007, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]",18,"['Rajasthan Royals', 'Kochi Tuskers Kerala', 'Chennai Super Kings', 'Gujarat Lions']",4,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,All-rounder,,Indian,Left,Left-arm spin,False,True,False,False,True,False,True,False,False,True,True,True,Aggressive,Chennai Super Kings,,
M Rawat,55,0,79.71,0.0,False,False,False,False,"[2007, 2009, 2013]",3,"['Rajasthan Royals', 'Pune Warriors']",2,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Batsman,,Indian,Right,,False,False,False,False,False,False,False,False,False,False,False,False,,,,
D Salunkhe,33,1,137.5,9.96,False,False,False,False,[2007],1,['Rajasthan Royals'],1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman | Bowler | All-rounder | Wicket-keeper,,Indian,Right,Right-arm Fast,False,False,False,False,False,False,False,False,False,False,False,False,,,,
SK Warne,198,57,92.52,7.27,False,False,False,True,"[2007, 2009, 2009, 2011]",4,['Rajasthan Royals'],1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Leg-spin,False,False,False,False,True,False,True,False,False,False,False,True,Maverick,,,
SK Trivedi,42,65,71.19,7.59,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013]",6,['Rajasthan Royals'],1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Batsman | Bowler | All-rounder | Wicket-keeper,,Indian | Overseas,Right | Left,Right-arm Fast | Left-arm Fast | Off-spin | Leg-spin | Left-arm spin | None,False,False,False,False,False,False,False,False,False,False,False,False,One word: Aggressive | Calm | Finisher | Maverick | Consistent | Match-winner,,,
G Gambhir,4217,0,123.88,0.0,True,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",11,"['Delhi Daredevils', 'Kolkata Knight Riders']",2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,Batsman | All-rounder,,Indian,Left,Left-arm spin,False,True,False,False,False,False,True,False,False,True,True,True,Aggressive,Kolkata Knight Riders,Tough competitor,2012 IPL Final
V Sehwag,2728,6,155.44,10.37,True,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015]",8,"['Delhi Daredevils', 'Kings XI Punjab']",2,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,Batsman | Bowler,,Indian,Right,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,Delhi Daredevils,,
S Dhawan,6769,4,127.09,8.25,True,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",17,"['Delhi Daredevils', 'Mumbai Indians', 'Deccan Chargers', 'Sunrisers Hyderabad', 'Delhi Capitals', 'Punjab Kings']",6,False,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,Batsman,,Indian,Left,Left-arm spin,False,False,False,False,False,False,False,False,False,False,False,True,Aggressive,,,
L Ronchi,34,0,100.0,0.0,True,False,False,False,"[2007, 2009]",2,['Mumbai Indians'],1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Wicket-keeper | Batsman,,Overseas,Left,Right-arm Fast,True,False,False,False,False,True,False,False,False,False,False,True,Finisher,,,
ST Jayasuriya,768,13,144.36,7.96,True,False,False,False,"[2007, 2009, 2009]",3,['Mumbai Indians'],1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast | Left-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
DJ Thornely,39,3,73.58,5.71,False,False,False,False,[2007],1,['Mumbai Indians'],1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,False,,,,
RV Uthappa,4954,0,130.33,0.0,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",15,"['Mumbai Indians', 'Royal Challengers Bangalore', 'Pune Warriors', 'Kolkata Knight Riders', 'Rajasthan Royals', 'Chennai Super Kings']",6,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Batsman | All-rounder,,Indian,Right,Right-arm Fast | Leg-spin,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,Kolkata Knight Riders,,
PR Shah,92,0,101.1,0.0,False,False,False,False,"[2007, 2009, 2011]",3,"['Mumbai Indians', 'Rajasthan Royals']",2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Batsman | Bowler | All-rounder | Wicket-keeper,,Indian | Overseas,Right | Left,Right-arm Fast | Left-arm Fast | Off-spin | Leg-spin | Left-arm spin | None,False,False,False,False,False,False,False,False,False,False,False,False,One word: Aggressive | Calm | Finisher | Maverick | Consistent | Match-winner,,,
AM Nayar,672,9,116.46,8.44,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014]",7,"['Mumbai Indians', 'Kings XI Punjab', 'Pune Warriors', 'Rajasthan Royals']",4,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,All-rounder,,Indian,Right,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,False,Aggressive,,,
SM Pollock,147,11,132.43,6.54,False,False,False,True,[2007],1,['Mumbai Indians'],1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,Maverick,,,
Harbhajan Singh,833,150,137.91,7.08,False,True,False,True,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021]",13,"['Mumbai Indians', 'Chennai Super Kings', 'Kolkata Knight Riders']",3,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bowler | All-rounder,,Indian,Right,Off-spin,False,False,False,False,True,False,True,False,False,False,False,True,Aggressive,Mumbai Indians,,
S Chanderpaul,25,0,80.65,0.0,True,False,False,False,[2007],1,['Royal Challengers Bangalore'],1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Left,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
LRPL Taylor,1017,0,123.72,12.0,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014]",7,"['Royal Challengers Bangalore', 'Rajasthan Royals', 'Delhi Daredevils', 'Pune Warriors']",4,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Batsman | All-rounder,,Overseas,Right,Right-arm Fast | Leg-spin,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
AC Gilchrist,2069,1,138.39,0.0,True,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013]",6,"['Deccan Chargers', 'Kings XI Punjab']",2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,Batsman | Wicket-keeper,,Overseas,Right,Right-arm Fast | Leg-spin,True,False,False,False,False,True,False,False,False,False,False,True,Aggressive,,,
Y Venugopal Rao,985,6,117.82,9.36,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2014]",6,"['Deccan Chargers', 'Delhi Daredevils', 'Sunrisers Hyderabad']",3,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,All-rounder,,Indian,Right,Right-arm Off-break,False,False,False,False,True,False,True,False,False,False,False,False,,,,
VVS Laxman,282,0,105.62,0.0,False,False,False,False,"[2007, 2009, 2009, 2011]",4,"['Deccan Chargers', 'Kochi Tuskers Kerala']",2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,Batsman,,Indian,Right,Right-arm Off-break,False,False,False,False,False,False,False,False,False,False,False,True,Consistent,,,
A Symonds,974,20,129.87,7.67,False,False,False,False,"[2007, 2009, 2009, 2011]",4,"['Deccan Chargers', 'Mumbai Indians']",2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,All-rounder,,Overseas,Right,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
RG Sharma,7185,15,132.56,8.02,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]",19,"['Deccan Chargers', 'Mumbai Indians']",2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Batsman | All-rounder,,Indian,Right,Right-arm Fast | Off-spin,False,True,True,False,False,True,True,True,True,True,True,True,Aggressive | Match-winner,Mumbai Indians,One of the greatest batsmen in IPL history,Leading Mumbai Indians to multiple IPL titles
SB Styris,131,8,98.5,7.67,False,False,False,False,"[2007, 2009, 2011]",3,"['Deccan Chargers', 'Chennai Super Kings']",2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,All-rounder,,Overseas,Right,Right-arm Fast | Off-spin,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
AS Yadav,49,0,125.64,0.0,False,False,False,False,[2007],1,['Deccan Chargers'],1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,All-rounder,,Indian,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,False,Match-winner,,,
SB Bangar,49,4,84.48,8.76,False,False,False,False,"[2007, 2009]",2,"['Deccan Chargers', 'Kolkata Knight Riders']",2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,All-rounder,,Indian,Right,Right-arm Fast | Off-spin,False,False,False,False,True,True,True,False,False,False,False,False,Consistent,,,
WPUJC Vaas,81,18,110.96,7.55,False,False,False,False,"[2007, 2009, 2009]",3,['Deccan Chargers'],1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Bowler,,Overseas,Right,Left-arm Fast,False,False,False,False,True,True,False,False,False,False,False,True,,,,
RP Singh,52,90,68.42,7.9,False,False,False,False,"[2007, 2009, 2009, 2011, 2012]",5,"['Deccan Chargers', 'Kochi Tuskers Kerala', 'Mumbai Indians']",3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Bowler,,Indian,Right,Left-arm Fast,False,False,False,False,True,True,False,False,False,False,False,True,,,,
WP Saha,2934,0,127.57,0.0,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",17,"['Kolkata Knight Riders', 'Chennai Super Kings', 'Kings XI Punjab', 'Sunrisers Hyderabad', 'Gujarat Titans']",5,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,Wicket-keeper | Batsman,,Indian,Right,Right-arm Off-break,True,False,False,False,False,False,False,False,False,False,False,True,Finisher,,,
LR Shukla,405,15,115.71,8.54,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013, 2014]",7,"['Kolkata Knight Riders', 'Delhi Daredevils']",2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,False,Aggressive,,,
DPMD Jayawardene,1808,0,123.5,0.0,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013]",6,"['Kings XI Punjab', 'Kochi Tuskers Kerala', 'Delhi Daredevils']",3,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,Batsman,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,Finisher,,,
S Sohal,368,0,126.03,0.0,True,False,False,False,"[2007, 2009, 2011]",3,"['Kings XI Punjab', 'Deccan Chargers']",2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,Batsman,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,False,False,False,False,False,False,,,,
B Lee,124,25,127.84,7.51,False,False,False,False,"[2007, 2009, 2009, 2011, 2012, 2013]",6,"['Kings XI Punjab', 'Kolkata Knight Riders']",2,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,All-rounder,,Overseas,Right,Right-arm Fast,False,False,False,False,False,True,True,False,False,False,False,True,Aggressive,,,
